consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text.started,scales_images.started,text_4.started,next_slide_text.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,40.01814256096259,y,0.08654437802033499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,42.119663815014064,y,0.16285012202570215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,44.28637394501129,y,0.07127477403264493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,46.3862971389899,y,0.07308424200164154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,48.491621649009176,y,0.07916588004445657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,50.58441767899785,y,0.2740244989981875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.906529077969026,52.906529077969026,52.906529077969026,52.906529077969026,52.906529077969026,52.906529077969026,52.906529077969026,2.8667726179701276,20,5.0,2.855431020958349,,0.0125,-0.38333333333333336,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,62.184509335958865,64.1698575830087,space,0.13945760298520327,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,64.33378633199027,66.33426565496484,space,0.08764486701693386,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,66.45329803199274,68.45101397298276,space,0.10772186901886016,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,68.58483899995917,70.58422163996147,space,0.07747993100201711,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,70.68475529795978,72.66962479497306,space,0.10032998397946358,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,72.80157436500303,74.78420218301471,space,0.7003233470022678,,,,,,,,,,,,,,,,,,,2023-02-21_15h46.24.201,BZ,2022.2.4,None,
