consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"1 of 6
I confirm that I have read the attached information sheet (Version A5.0; Date 26/05/2022) for the above study and have had the opportunity to consider the information and ask questions and had these answered satisfactorily.",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,18.7215923750191,y,0.11492971202824265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"2 of 6
I understand that my participation in the study is voluntary and that I am free to withdraw at any time without giving a reason and without detriment to myself (although I will not receive payment for this study). I understand that it will not be possible to remove my data from the project once it has been anonymised and forms part of the data set.  

I agree to take part on this basis.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,20.82053501700284,y,0.032801040972117335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"3 of 6
I agree that any data collected may be included in anonymous form in student theses/publications/conference presentations.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,22.851741292048246,y,0.14989616896491498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"4 of 6
I understand that a fully anonymised dataset will be deposited in public open data repositories.",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,25.003843200043775,y,0.06010005599819124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,27.09138963604346,y,0.1655975849716924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,29.268175168021116,y,0.2897354559972882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.628789225011133,31.628789225011133,31.628789225011133,31.628789225011133,31.628789225011133,31.628789225011133,31.628789225011133,3.831165727984626,20,5.0,3.81769593100762,,0.020833333333333332,-0.4097222222222222,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,43.89198848803062,45.86811297299573,space,0.11828216799767688,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,46.018157514045015,48.01781635399675,space,0.8738375310203992,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,48.91930016799597,50.90132734004874,space,0.737536865985021,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,51.67016760399565,53.66853867500322,space,0.17045904998667538,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,53.86985618399922,55.867767749005,space,0.06252840301021934,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,55.951363262021914,57.93554552999558,space,0.7660703780129552,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,58.7214587170165,60.71847914502723,space,1.3781166460248642,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,62.119481685047504,64.10225374804577,space,0.1082895680447109,,,,,,,,,,,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,1,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cs,images/all_images/1cs.jpeg,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31078986404464,64.31078986404464,64.31078986404464,64.31078986404464,64.31078986404464,78.40133240801515,1.3416666666666668,14.09596387099009,space,0.16669332300079986,,,,2023-02-21_14h09.26.922,BZ,2022.2.4,59.56782376393813,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.60034966201056,78.60034966201056,78.60034966201056,78.60034966201056,78.60034966201056,,,,,,,,,,,,,
