consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,trunc,label,E,18,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E18_trunc_label.png,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.3395666969882,424.3395666969882,424.3395666969882,424.3395666969882,424.3395666969882,427.1422096369788,1.5166666666666666,2.806420856999466,space,0.6935964759904891,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,9,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E9_trunc_label.png,,,,,,,,,,,,,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.97292247298174,427.97292247298174,427.97292247298174,427.97292247298174,427.97292247298174,429.2588052749925,1.4875,1.2876194220152684,space,0.1683642500138376,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,E,22,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E22_extend_label.png,,,,,,,,,,,,,0,19,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.57924249899224,429.57924249899224,429.57924249899224,429.57924249899224,429.57924249899224,431.37510340398876,1.3416666666666668,1.800993164011743,space,0.2412655670195818,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,28,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E28_trunc_blank.png,,,,,,,,,,,,,0,20,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.7635043489863,431.7635043489863,431.7635043489863,431.7635043489863,431.7635043489863,433.1589088239998,1.2604166666666665,1.4036489760037512,space,0.22429688900592737,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,23,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E23_trunc_blank.png,,,,,,,,,,,,,0,21,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.5303342019906,433.5303342019906,433.5303342019906,433.5303342019906,433.5303342019906,434.4088428579853,1.2604166666666665,0.8873140850046184,space,0.21192644702387042,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,27,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E27_extend_blank.png,,,,,,,,,,,,,0,22,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.75632555998163,434.75632555998163,434.75632555998163,434.75632555998163,434.75632555998163,435.7255213969911,1.225,1.822892888012575,space,1.2218917580030393,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,35,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E35_trunc_blank.png,,,,,,,,,,,,,0,23,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.08963559300173,437.08963559300173,437.08963559300173,437.08963559300173,437.08963559300173,438.7584395019803,1.2125,1.6685841669968795,space,0.38357398301013745,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,AC,54,Ignore the map. Move the marker all the way to the 'Very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",2.0,0.5,map_generator/maps/AC54_extend_blank.png,,,,,,,,,,,,,0,24,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.28868464397965,439.28868464397965,439.28868464397965,439.28868464397965,439.28868464397965,454.92521775499335,2.0,15.64416989198071,space,2.771528573008254,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,AC,52,Ignore the map. Move the marker to the middle of the scale.,"Based on the text above, how have you been asked to respond?",1.5,0.5,map_generator/maps/AC52_extend_label.png,,,,,,,,,,,,,0,25,25,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.84837020997657,457.84837020997657,457.84837020997657,457.84837020997657,457.84837020997657,462.27530084797763,1.5,4.431422616995405,space,2.317819667980075,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,36,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E36_extend_blank.png,,,,,,,,,,,,,0,26,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.74928630600334,464.74928630600334,464.74928630600334,464.74928630600334,464.74928630600334,475.7747698259773,1.4895833333333333,11.030279358004918,space,0.14954012699308805,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
