consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,scale,label,item_type,item_no,sentence,question,correct_option,granularity,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,mouse_2.started,continue_box.started,continue_text.started,comment_instructions.started,textbox.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,total_duration,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,trunc,blank,E,11,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E11_trunc_blank.png,,,,,,,,,,,,,0,39,39,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.1798437329999,513.1798437329999,513.1798437329999,513.1798437329999,513.1798437329999,514.4912990469893,1.125,1.319828609994147,space,0.16566095600137487,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,20,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E20_extend_blank.png,,,,,,,,,,,,,0,40,40,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.803757540998,514.803757540998,514.803757540998,514.803757540998,514.803757540998,515.9910571450018,1.4708333333333332,1.196614575019339,space,0.14391060499474406,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,7,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E7_trunc_blank.png,,,,,,,,,,,,,0,41,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.271689111978,516.271689111978,516.271689111978,516.271689111978,516.271689111978,517.9745708459814,1.5979166666666667,1.7077412059879862,space,0.0847292389953509,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,6,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E6_trunc_label.png,,,,,,,,,,,,,0,42,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.2050544569793,518.2050544569793,518.2050544569793,518.2050544569793,518.2050544569793,674.7729372819886,1.2666666666666666,156.56961970499833,space,0.14867309900000691,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,AC,51,Ignore the map. Move the marker to the middle of the scale.,"Based on the text above, how have you been asked to respond?",1.5,0.5,map_generator/maps/AC51_trunc_blank.png,,,,,,,,,,,,,0,43,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.127192777989,675.127192777989,675.127192777989,675.127192777989,675.127192777989,676.1229045459768,1.5,1.0110495539847761,space,0.17993349800235592,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,AC,50,Ignore the map. Move the marker all the way to the 'Not very urgently' end of the scale.,"Based on the text above, how have you been asked to respond?",1.0,0.5,map_generator/maps/AC50_extend_blank.png,,,,,,,,,,,,,0,44,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.4498099799966,676.4498099799966,676.4498099799966,676.4498099799966,676.4498099799966,679.3563886219927,1.0,2.9146835830179043,space,1.8692400029976852,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,15,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E15_extend_blank.png,,,,,,,,,,,,,0,45,45,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.3864741580037,681.3864741580037,681.3864741580037,681.3864741580037,681.3864741580037,685.6231196559966,1.5520833333333335,4.242598010023357,space,4.22151980601484,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,32,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E32_extend_blank.png,,,,,,,,,,,,,0,46,46,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.9869396809954,689.9869396809954,689.9869396809954,689.9869396809954,689.9869396809954,691.3894453019893,1.5104166666666665,1.404037290980341,space,0.18048906201147474,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,40,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E40_trunc_blank.png,,,,,,,,,,,,,0,47,47,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.7091128259781,691.7091128259781,691.7091128259781,691.7091128259781,691.7091128259781,692.5225703989854,1.5104166666666665,0.8225854180054739,space,0.22114844599855132,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,blank,E,39,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E39_extend_blank.png,,,,,,,,,,,,,0,48,48,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.886873527983,692.886873527983,692.886873527983,692.886873527983,692.886873527983,693.4560012150032,1.5104166666666665,0.5698956249980256,space,0.16598067502491176,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,38,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E38_trunc_label.png,,,,,,,,,,,,,0,49,49,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.7621765289805,693.7621765289805,693.7621765289805,693.7621765289805,693.7621765289805,694.2227964479825,1.5104166666666665,0.46956778201274574,space,0.14288717100862414,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,4,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E4_trunc_blank.png,,,,,,,,,,,,,0,50,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.509932410001,694.509932410001,694.509932410001,694.509932410001,694.509932410001,694.9062957970018,1.5104166666666665,0.4057260229892563,space,0.16437721301917918,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,label,E,2,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E2_trunc_label.png,,,,,,,,,,,,,0,51,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.2113396950008,695.2113396950008,695.2113396950008,695.2113396950008,695.2113396950008,695.5559937789803,1.5104166666666665,0.3533550759893842,space,0.14072259500971995,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,extend,label,E,5,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E5_extend_label.png,,,,,,,,,,,,,0,52,52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.8446151349926,695.8446151349926,695.8446151349926,695.8446151349926,695.8446151349926,696.1064208159805,1.5104166666666665,0.27059557900065556,space,0.1522398079978302,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,trunc,blank,E,43,"This map shows the levels of a certain type of pollution, in four geographic regions:",How urgently should pollution levels in these regions be addressed?,None,0.0,map_generator/maps/E43_trunc_blank.png,,,,,,,,,,,,,0,53,53,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.4029763889848,696.4029763889848,696.4029763889848,696.4029763889848,696.4029763889848,696.7225551529846,1.5104166666666665,0.324600460997317,space,0.12276578901219182,,,,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[7.048823978024302],,,,,,,,,,,,,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.943346724991,0.00038429300184361637,706.943346724991,706.943346724991,706.943346724991, test,0.028125,-0.41875,1,0,0,continue_box,,,,,2022-12-13_12h34.38.627,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.8575370769831,,,,,,,,
